,Country,porksupply,chickensupply,beefsupply,lambsupply,fishsupply,eggsupply,milkcheesesupply,wheatprodsupply,ricesupply,soybeansupply,nutssupply,totalco2
0,Argentina,10.51,38.66,55.48,1.56,4.36,11.39,195.08,103.11,8.77,0.0,0.49,2172.4
1,Australia,24.14,46.12,33.86,9.87,17.69,8.51,234.49,70.46,11.03,0.19,8.73,1938.6399999999999
2,Albania,10.88,13.23,22.5,15.32,3.85,12.45,303.72,138.64,7.78,0.0,4.36,1777.84
3,Iceland,21.69,26.87,13.36,21.12,74.41,8.24,225.82,72.92,3.89,0.11,3.88,1731.35
4,New Zealand,22.29,34.98,22.49,18.91,20.36,9.91,137.25,76.91,9.16,0.44,8.22,1750.94
5,USA,27.64,50.01,36.24,0.43,12.35,14.58,254.69,80.43,6.88,0.04,7.86,1718.86
6,Uruguay,16.84,27.45,29.1,8.23,6.53,13.14,210.54,109.31,11.5,0.01,0.95,1634.91
7,Luxembourg,43.58,21.37,29.88,1.67,23.09,14.64,255.3,103.2,4.2,0.04,0.93,1598.41
8,Brazil,12.6,45.0,39.25,0.62,10.01,8.98,149.28,53.0,32.13,3.62,0.67,1616.73
9,Kazakhstan,10.36,18.38,23.38,9.56,5.21,8.29,288.12,92.31,7.32,0.03,5.14,1575.07
10,Sweden,37.0,16.64,24.58,1.41,23.86,13.37,341.23,79.59,5.96,0.13,6.23,1527.0200000000002
11,Bermuda,28.24,32.62,33.15,2.71,33.22,14.92,95.56,54.88,5.38,0.22,5.72,1483.27
12,Denmark,24.87,26.75,28.46,0.92,16.49,15.35,277.3,98.0,4.96,0.03,5.94,1498.1699999999998
13,Finland,36.14,19.87,19.22,0.53,33.8,9.55,430.76,81.99,4.42,0.08,3.43,1464.63
14,Ireland,32.4,26.26,22.35,4.1,17.39,8.96,291.86,107.98,3.0,0.25,4.1,1459.6699999999998
15,Greece,28.31,15.74,16.1,12.47,14.42,10.13,255.26,124.04,6.64,0.02,10.5,1497.29
16,France,33.05,22.93,23.81,3.28,22.91,13.13,241.31,108.43,4.88,0.05,5.39,1420.06
17,Canada,22.81,36.68,30.25,0.97,14.56,12.95,187.77,84.96,12.65,0.94,8.01,1437.15
18,Norway,23.51,21.01,19.83,5.34,38.18,11.41,261.34,97.12,4.36,0.11,5.28,1381.9
19,Hong Kong SAR. China,67.11,54.86,25.82,2.22,42.44,14.5,105.85,53.14,43.48,2.79,13.81,1494.29
20,French Polynesia,14.75,49.55,30.9,2.83,38.95,8.75,93.56,68.67,35.59,0.77,2.34,1424.67
21,Israel,1.99,62.5,28.78,1.87,22.18,11.35,193.6,110.86,16.81,0.1,7.71,1405.6999999999998
22,Switzerland,31.49,16.38,21.26,1.42,13.48,10.53,318.69,89.51,2.43,0.44,9.27,1356.75
23,Netherlands,36.36,23.9,17.67,0.94,18.64,14.03,341.47,70.17,2.93,0.12,7.94,1292.83
24,Kuwait,0.0,53.61,13.03,15.61,11.99,12.6,157.66,96.76,43.83,0.06,5.23,1345.4499999999998
25,United Kingdom,25.79,31.55,18.12,4.49,15.49,11.08,232.2,98.63,6.39,0.05,4.18,1241.63
26,Austria,52.56,18.61,17.14,1.16,12.16,14.68,258.09,81.1,3.7,2.06,7.88,1211.1599999999999
27,Oman,0.01,31.51,15.1,12.87,21.56,7.8,152.28,64.1,56.55,0.21,1.68,1296.7
28,Italy,40.28,18.61,18.6,0.92,15.6,13.34,246.88,146.37,5.74,0.01,7.63,1206.33
29,Bahamas,32.74,45.74,19.92,5.22,18.8,6.2,104.76,39.98,23.97,0.09,4.03,1192.91
30,Portugal,37.91,30.14,16.45,2.38,45.39,9.05,205.04,94.3,14.86,0.01,3.91,1174.28
31,Malta,34.24,26.4,19.22,1.19,24.58,11.64,190.06,139.58,4.96,0.05,5.62,1147.91
32,Armenia,9.67,13.35,19.66,3.02,4.36,11.69,209.03,130.6,3.18,0.0,2.55,1109.93
33,Slovenia,28.19,23.46,18.43,0.79,7.76,9.36,235.01,103.43,3.95,0.75,5.28,1111.55
34,Chile,24.68,36.52,23.86,0.42,7.65,9.97,116.11,104.74,8.85,0.04,2.22,1099.57
35,Venezuela,7.23,39.28,25.89,0.32,8.34,5.63,117.79,49.17,23.39,0.0,0.35,1104.1000000000001
36,Belgium,38.65,12.2,15.63,1.32,18.97,12.59,236.19,111.91,8.61,0.07,7.32,1102.08
37,Germany,51.81,17.75,13.16,0.73,11.16,12.2,258.7,83.41,3.34,0.88,7.96,1066.29
38,Russia,25.66,27.5,16.98,1.4,20.82,15.43,163.57,130.99,4.71,0.05,1.62,1007.66
39,Croatia,42.79,8.52,12.41,1.71,15.83,8.48,231.02,106.59,2.64,0.0,3.88,996.1400000000001
40,Belarus,40.37,31.29,17.11,0.11,15.75,15.86,133.73,60.48,3.17,0.3,3.36,960.1999999999999
41,Spain,48.92,28.63,12.15,2.16,28.83,13.32,164.29,93.88,8.32,0.02,7.44,988.49
42,Paraguay,26.24,6.39,19.81,0.56,3.6,18.83,75.72,31.51,4.91,0.0,1.6,876.67
